cellID,cellType,sampleID
AZ_A10,delta cell,AZ
AZ_A11,alpha cell,AZ
AZ_A12,delta cell,AZ
AZ_A2,gamma cell,AZ
AZ_A5,ductal cell,AZ
AZ_A6,alpha cell,AZ
AZ_A7,acinar cell,AZ
AZ_A8,beta cell,AZ
AZ_B1,delta cell,AZ
AZ_B10,delta cell,AZ
AZ_B11,co-expression cell,AZ
AZ_B12,alpha cell,AZ
AZ_B2,alpha cell,AZ
AZ_B3,alpha cell,AZ
AZ_B5,alpha cell,AZ
AZ_B8,acinar cell,AZ
AZ_B9,alpha cell,AZ
AZ_C1,alpha cell,AZ
AZ_C10,beta cell,AZ
AZ_C11,delta cell,AZ
AZ_C2,alpha cell,AZ
AZ_C3,ductal cell,AZ
AZ_C4,beta cell,AZ
AZ_C5,alpha cell,AZ
AZ_C8,alpha cell,AZ
AZ_C9,ductal cell,AZ
AZ_D12,gamma cell,AZ
AZ_D2,beta cell,AZ
AZ_D3,alpha cell,AZ
AZ_D4,alpha cell,AZ
AZ_D5,delta cell,AZ
AZ_D6,beta cell,AZ
AZ_D7,alpha cell,AZ
AZ_D8,gamma cell,AZ
AZ_D9,alpha cell,AZ
AZ_E12,alpha cell,AZ
AZ_E2,alpha cell,AZ
AZ_E3,MHC class II cell,AZ
AZ_E4,alpha cell,AZ
AZ_E5,alpha cell,AZ
AZ_E7,beta cell,AZ
AZ_E8,alpha cell,AZ
AZ_E9,alpha cell,AZ
AZ_F1,beta cell,AZ
AZ_F2,beta cell,AZ
AZ_F4,alpha cell,AZ
AZ_F5,PSC cell,AZ
AZ_F6,acinar cell,AZ
AZ_F7,co-expression cell,AZ
AZ_F8,alpha cell,AZ
AZ_F9,ductal cell,AZ
AZ_G1,alpha cell,AZ
AZ_G10,alpha cell,AZ
AZ_G2,beta cell,AZ
AZ_G3,alpha cell,AZ
AZ_G4,alpha cell,AZ
AZ_G5,gamma cell,AZ
AZ_G6,co-expression cell,AZ
AZ_H1,delta cell,AZ
AZ_H10,acinar cell,AZ
AZ_H11,beta cell,AZ
AZ_H12,gamma cell,AZ
AZ_H2,beta cell,AZ
AZ_H3,gamma cell,AZ
AZ_H4,endothelial cell,AZ
AZ_H5,gamma cell,AZ
AZ_H6,beta cell,AZ
AZ_H9,alpha cell,AZ
HP1502401_A10,beta cell,HP1502401
HP1502401_A12,alpha cell,HP1502401
HP1502401_A14,acinar cell,HP1502401
HP1502401_A15,alpha cell,HP1502401
HP1502401_A17,alpha cell,HP1502401
HP1502401_A18,delta cell,HP1502401
HP1502401_A2,delta cell,HP1502401
HP1502401_A22,acinar cell,HP1502401
HP1502401_A24,delta cell,HP1502401
HP1502401_A4,alpha cell,HP1502401
HP1502401_A6,beta cell,HP1502401
HP1502401_A7,beta cell,HP1502401
HP1502401_B1,beta cell,HP1502401
