cellID	cellType	sampleID
GSM2171880	alpha	21_male
GSM2171881	alpha	21_male
GSM2171882	acinar	21_male
GSM2171883	alpha	21_male
GSM2171884	alpha	21_male
GSM2171885	alpha	21_male
GSM2171886	unsure	21_male
GSM2171887	unsure	21_male
GSM2171888	acinar	21_male
GSM2171889	acinar	21_male
GSM2171890	acinar	21_male
GSM2171891	acinar	21_male
GSM2171892	unsure	21_male
GSM2171893	acinar	21_male
GSM2171894	acinar	21_male
GSM2171895	alpha	21_male
GSM2171896	acinar	21_male
GSM2171897	acinar	21_male
GSM2171898	acinar	21_male
GSM2171899	acinar	21_male
GSM2171900	acinar	21_male
GSM2171901	acinar	21_male
GSM2171902	unsure	21_male
GSM2171903	unsure	21_male
GSM2171904	unsure	21_male
GSM2171905	acinar	21_male
GSM2171906	alpha	21_male
GSM2171907	alpha	21_male
GSM2171908	unsure	21_male
GSM2171909	acinar	21_male
GSM2171910	acinar	21_male
GSM2171911	acinar	21_male
GSM2171912	alpha	21_male
GSM2171913	alpha	21_male
GSM2171914	acinar	21_male
GSM2171915	acinar	21_male
GSM2171916	unsure	21_male
GSM2171917	acinar	21_male
GSM2171918	acinar	21_male
GSM2171919	acinar	21_male
GSM2171920	acinar	21_male
GSM2171921	alpha	21_male
GSM2171922	alpha	21_male
GSM2171923	acinar	21_male
GSM2171924	alpha	21_male
GSM2171925	alpha	21_male
GSM2171926	acinar	21_male
GSM2171927	alpha	21_male
GSM2171928	acinar	21_male
GSM2171929	alpha	21_male
GSM2171930	acinar	21_male
GSM2171931	acinar	21_male
GSM2171932	unsure	21_male
GSM2171933	acinar	21_male
GSM2171934	delta	21_male
GSM2171935	acinar	21_male
GSM2171936	delta	21_male
GSM2171937	unsure	21_male
GSM2171938	alpha	21_male
GSM2171939	acinar	21_male
GSM2171940	alpha	21_male
GSM2171941	acinar	21_male
GSM2171942	acinar	21_male
GSM2171943	acinar	21_male
GSM2171944	acinar	21_male
GSM2171945	unsure	21_male
GSM2171946	acinar	21_male
GSM2171947	alpha	21_male
GSM2171948	acinar	21_male
GSM2171949	acinar	21_male
GSM2171950	acinar	21_male
GSM2171951	alpha	21_male
GSM2171952	acinar	21_male
GSM2171953	unsure	21_male
GSM2171954	acinar	21_male
GSM2171955	acinar	21_male
GSM2171956	acinar	21_male
GSM2171957	unsure	21_male
GSM2171958	acinar	21_male
GSM2171959	alpha	21_male
GSM2171960	acinar	21_male
GSM2171961	acinar	21_male
GSM2171962	acinar	21_male
GSM2171963	alpha	21_male
GSM2171964	acinar	21_male
GSM2171965	acinar	21_male
GSM2171966	unsure	21_male
GSM2171967	alpha	21_male
GSM2171968	acinar	21_male
GSM2171969	acinar	21_male
GSM2171970	unsure	21_male
GSM2171971	acinar	21_male
GSM2171972	unsure	21_male
GSM2171973	acinar	21_male
GSM2171974	acinar	21_male
GSM2171975	alpha	21_male
GSM2171976	unsure	21_male
GSM2171977	alpha	21_male
GSM2171978	unsure	21_male
GSM2171979	acinar	21_male
GSM2171980	acinar	21_male
GSM2171981	alpha	21_male
GSM2171982	acinar	21_male
GSM2171983	acinar	21_male
GSM2171984	acinar	21_male
GSM2171985	alpha	21_male
GSM2171986	acinar	21_male
GSM2171987	unsure	21_male
GSM2171988	acinar	21_male
GSM2171989	acinar	21_male
GSM2171990	alpha	21_male
GSM2171991	acinar	21_male
GSM2171992	acinar	21_male
GSM2171993	acinar	21_male
GSM2171994	acinar	21_male
GSM2171995	unsure	21_male
GSM2171996	alpha	21_male
GSM2171997	alpha	21_male
GSM2171998	acinar	21_male
GSM2171999	acinar	21_male
GSM2172000	unsure	21_male
GSM2172001	unsure	21_male
GSM2172002	alpha	21_male
GSM2172003	alpha	21_male
GSM2172004	acinar	21_male
GSM2172005	alpha	21_male
GSM2172006	unsure	21_male
GSM2172007	acinar	21_male
GSM2172008	alpha	21_male
GSM2172009	alpha	21_male
GSM2172010	unsure	21_male
GSM2172011	acinar	21_male
GSM2172012	acinar	21_male
GSM2172013	unsure	21_male
GSM2172014	acinar	21_male
GSM2172015	unsure	21_male
GSM2172016	alpha	21_male
GSM2172017	unsure	21_male
GSM2172018	alpha	21_male
GSM2172019	alpha	21_male
GSM2172020	unsure	21_male
GSM2172021	unsure	21_male
GSM2172022	unsure	21_male
GSM2172023	alpha	21_male
GSM2172024	unsure	21_male
GSM2172025	alpha	21_male
GSM2172026	unsure	21_male
GSM2172027	alpha	21_male
GSM2172028	unsure	21_male
GSM2172029	alpha	21_male
GSM2172030	alpha	21_male
GSM2172031	alpha	21_male
GSM2172032	alpha	21_male
GSM2172033	unsure	21_male
GSM2172034	alpha	21_male
GSM2172035	unsure	21_male
GSM2172036	alpha	21_male
GSM2172037	unsure	21_male
